ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0051327,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£137.12,07/02/2011,Overheads and general administration,British TelecommunicaTIONS Plc.,"81 Newgate Street, London, EC1A 7AJ, United Kingdom",£0.00,£0.00,£0.00,£137.12,18/05/2011,08/06/2011,83,2923,,,,False
SP0051326,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£239.49,07/02/2011,Overheads and general administration,British TelecommunicaTIONS Plc.,"81 Newgate Street, London, EC1A 7AJ, United Kingdom",£0.00,£0.00,£0.00,£239.49,18/05/2011,08/06/2011,83,2923,,,,False
SP0051325,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£134.85,07/02/2011,Overheads and general administration,British TelecommunicaTIONS Plc.,"81 Newgate Street, London, EC1A 7AJ, United Kingdom",£0.00,£0.00,£0.00,£134.85,18/05/2011,08/06/2011,83,2923,,,,False
SP0051324,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£100.80,07/02/2011,Overheads and general administration,British TelecommunicaTIONS Plc.,"81 Newgate Street, London, EC1A 7AJ, United Kingdom",£0.00,£0.00,£0.00,£100.80,01/06/2011,03/07/2011,83,2923,,,,False
SP0051217,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£125.98,06/02/2011,Transport,Flight - unknown airline,"n/a, n/a, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£125.98,06/02/2011,06/02/2011,84,3726,,,,False
SP0038181,Green Party,Northern Ireland Assembly election 05/05/2011,Political Party,"£1,680.00",03/02/2011,Campaign broadcasts,Bob Price,"",£0.00,£0.00,£0.00,"£1,680.00",03/02/2011,07/02/2011,305,325,,,,False
SP0051336,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£600.00,02/02/2011,Rallies and other events,The Mount Business and Conference Centre,"2 Woodstock Link, Belfast, Antrim, BT6 8DD, United Kingdom",£0.00,£0.00,£0.00,£600.00,16/02/2011,02/03/2011,83,2920,,,,False
SP0051233,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£244.23,31/01/2011,Overheads and general administration,Share of gas and electricity etc at office,"n/a, n/a, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£244.23,05/05/2011,05/05/2011,84,3735,,,,False
SP0051226,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£143.71,31/01/2011,Overheads and general administration,Land and Property Services,"21-27 Chichester Street, Town Parks, Belfast, BT1 4JB, United Kingdom",£0.00,£0.00,£0.00,£143.71,20/06/2011,28/06/2011,84,3730,,,,False
SP0049367,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly election 05/05/2011,Political Party,"£1,000.00",29/01/2011,Unsolicited material to electors,Mark Thompson Design,"",£0.00,£0.00,£0.00,"£1,000.00",29/01/2011,01/05/2011,70,2902,,,,False
